type,raw_padyam_text,class,satakam,lg_data,chandassu_score,n_aksharaalu_score,n_paadalu_score,gana_kramam_score,yati_score,prasa_score
seesamu,"శ్రీమదనంత లక్ష్మీ యుతోరః స్థల- చతురాననాండ పూరిత పిచండ
ధర చక్ర ఖడ్గ గదా శరాసనహస్త- నిఖిల వేదాంత వర్ణిత చరిత్ర
సకల పావన నదీ జనక పాదాంభోజ- దమణీయ ఖగకులోత్తమ తురంగ
మణి సౌధవ త్ఫణామండ లోరగతల్ప- వరకల్పకోద్యాన వన విహార",vupajaathi,Aandhranaayaka,"[('శ్రీ', 'U'), ('మ', '|'), ('ద', '|'), ('నం', 'U'), ('త', '|'), ('ల', 'U'), ('క్ష్మీ', 'U'), ('యు', '|'), ('తో', 'U'), ('రః', 'U'), ('స్థ', '|'), ('ల', '|'), ('చ', '|'), ('తు', '|'), ('రా', 'U'), ('న', '|'), ('నాం', 'U'), ('డ', '|'), ('పూ', 'U'), ('రి', '|'), ('త', '|'), ('పి', '|'), ('చం', 'U'), ('డ', '|'), ('ధ', '|'), ('ర', '|'), ('చ', '|'), ('క్ర', '|'), ('ఖ', 'U'), ('డ్గ', '|'), ('గ', '|'), ('దా', 'U'), ('శ', '|'), ('రా', 'U'), ('స', '|'), ('న', '|'), ('హ', 'U'), ('స్త', '|'), ('ని', '|'), ('ఖి', '|'), ('ల', '|'), ('వే', 'U'), ('దాం', 'U'), ('త', '|'), ('వ', 'U'), ('ర్ణి', '|'), ('త', '|'), ('చ', '|'), ('రి', '|'), ('త్ర', '|'), ('స', '|'), ('క', '|'), ('ల', '|'), ('పా', 'U'), ('వ', '|'), ('న', '|'), ('న', '|'), ('దీ', 'U'), ('జ', '|'), ('న', '|'), ('క', '|'), ('పా', 'U'), ('దాం', 'U'), ('భో', 'U'), ('జ', '|'), ('ద', '|'), ('మ', '|'), ('ణీ', 'U'), ('య', '|'), ('ఖ', '|'), ('గ', '|'), ('కు', '|'), ('లో', 'U'), ('త్త', '|'), ('మ', '|'), ('తు', '|'), ('రం', 'U'), ('గ', '|'), ('మ', '|'), ('ణి', '|'), ('సౌ', 'U'), ('ధ', '|'), ('వ', 'U'), ('త్ఫ', '|'), ('ణా', 'U'), ('మం', 'U'), ('డ', '|'), ('లో', 'U'), ('ర', '|'), ('గ', '|'), ('త', 'U'), ('ల్ప', '|'), ('వ', '|'), ('ర', '|'), ('క', 'U'), ('ల్ప', '|'), ('కో', 'U'), ('ద్యా', 'U'), ('న', '|'), ('వ', '|'), ('న', '|'), ('వి', '|'), ('హా', 'U'), ('ర', '|')]",0.8020833333333334,-1.0,1.0,0.78125,0.625,-1.0
teytageethi,"భాను సితభాను నేత్ర సౌభాగ్యగాత్ర-యోగిహృద్గేయ భవనైక భాగధేయ
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!",vupajaathi,Aandhranaayaka,"[('భా', 'U'), ('ను', '|'), ('సి', '|'), ('త', '|'), ('భా', 'U'), ('ను', '|'), ('నే', 'U'), ('త్ర', '|'), ('సౌ', 'U'), ('భా', 'U'), ('గ్య', '|'), ('గా', 'U'), ('త్ర', '|'), ('యో', 'U'), ('గి', '|'), ('హృ', 'U'), ('ద్గే', 'U'), ('య', '|'), ('భ', '|'), ('వ', '|'), ('నై', 'U'), ('క', '|'), ('భా', 'U'), ('గ', '|'), ('ధే', 'U'), ('య', '|'), ('చి', '|'), ('త్ర', '|'), ('చి', '|'), ('త్ర', '|'), ('ప్ర', '|'), ('భా', 'U'), ('వ', '|'), ('దా', 'U'), ('క్షి', 'U'), ('ణ్య', '|'), ('భా', 'U'), ('వ', '|'), ('హ', '|'), ('త', '|'), ('వి', '|'), ('మ', '|'), ('త', '|'), ('జీ', 'U'), ('వ', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళాం', 'U'), ('ధ్ర', '|'), ('దే', 'U'), ('వ', '|')]",0.7666666666666666,-1.0,1.0,0.8,0.5,-1.0
seesamu,"వైజయంతీధామ వర్ణిత సుత్రామ- శోభననామ లోకాభిరామ
కువలయశ్యామ వికుంఠపట్టణధామ- శ్రుతిహితనామ దైవతలలామ
కృత్యదైత్య సంగ్రామ గీతార్థ పరిణామ- యదుకులాంబుధిసోమ అఘవిరామ
సంగర జిత భౌమ రంగద్గుణస్తోమ- త్రిభువన క్షేమ వర్ధిష్ణుకామ",vupajaathi,Aandhranaayaka,"[('వై', 'U'), ('జ', '|'), ('యం', 'U'), ('తీ', 'U'), ('ధా', 'U'), ('మ', '|'), ('వ', 'U'), ('ర్ణి', '|'), ('త', '|'), ('సు', '|'), ('త్రా', 'U'), ('మ', '|'), ('శో', 'U'), ('భ', '|'), ('న', '|'), ('నా', 'U'), ('మ', '|'), ('లో', 'U'), ('కా', 'U'), ('భి', '|'), ('రా', 'U'), ('మ', '|'), ('కు', '|'), ('వ', '|'), ('ల', '|'), ('య', 'U'), ('శ్యా', 'U'), ('మ', '|'), ('వి', '|'), ('కుం', 'U'), ('ఠ', '|'), ('ప', 'U'), ('ట్ట', '|'), ('ణ', '|'), ('ధా', 'U'), ('మ', '|'), ('శ్రు', '|'), ('తి', '|'), ('హి', '|'), ('త', '|'), ('నా', 'U'), ('మ', '|'), ('దై', 'U'), ('వ', '|'), ('త', '|'), ('ల', '|'), ('లా', 'U'), ('మ', '|'), ('కృ', 'U'), ('త్య', '|'), ('దై', 'U'), ('త్య', '|'), ('సం', 'U'), ('గ్రా', 'U'), ('మ', '|'), ('గీ', 'U'), ('తా', 'U'), ('ర్థ', '|'), ('ప', '|'), ('రి', '|'), ('ణా', 'U'), ('మ', '|'), ('య', '|'), ('దు', '|'), ('కు', '|'), ('లాం', 'U'), ('బు', '|'), ('ధి', '|'), ('సో', 'U'), ('మ', '|'), ('అ', '|'), ('ఘ', '|'), ('వి', '|'), ('రా', 'U'), ('మ', '|'), ('సం', 'U'), ('గ', '|'), ('ర', '|'), ('జి', '|'), ('త', '|'), ('భౌ', 'U'), ('మ', '|'), ('రం', 'U'), ('గ', 'U'), ('ద్గు', '|'), ('ణ', 'U'), ('స్తో', 'U'), ('మ', '|'), ('త్రి', '|'), ('భు', '|'), ('వ', '|'), ('న', 'U'), ('క్షే', 'U'), ('మ', '|'), ('వ', 'U'), ('ర్ధి', 'U'), ('ష్ణు', '|'), ('కా', 'U'), ('మ', '|')]",0.65625,-1.0,1.0,0.71875,0.25,-1.0
teytageethi,"దాసులము గామ? నీ పేరు దలఁచుకోమ?-కొసరితిమి ప్రేమ కోరిన కోర్కు లీవ?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!",vupajaathi,Aandhranaayaka,"[('దా', 'U'), ('సు', '|'), ('ల', '|'), ('ము', '|'), ('గా', 'U'), ('మ', '|'), ('నీ', 'U'), ('పే', 'U'), ('రు', '|'), ('ద', '|'), ('ల', '|'), ('చు', '|'), ('కో', 'U'), ('మ', '|'), ('కొ', '|'), ('స', '|'), ('రి', '|'), ('తి', '|'), ('మి', '|'), ('ప్రే', 'U'), ('మ', '|'), ('కో', 'U'), ('రి', '|'), ('న', '|'), ('కో', 'U'), ('ర్కు', '|'), ('లీ', 'U'), ('వ', '|'), ('చి', '|'), ('త్ర', '|'), ('చి', '|'), ('త్ర', '|'), ('ప్ర', '|'), ('భా', 'U'), ('వ', '|'), ('దా', 'U'), ('క్షి', 'U'), ('ణ్య', '|'), ('భా', 'U'), ('వ', '|'), ('హ', '|'), ('త', '|'), ('వి', '|'), ('మ', '|'), ('త', '|'), ('జీ', 'U'), ('వ', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళాం', 'U'), ('ధ్ర', '|'), ('దే', 'U'), ('వ', '|')]",0.7666666666666666,-1.0,1.0,0.8,0.5,-1.0
seesamu,"మానుషహర్యక్ష మార్తాండ సోమాక్ష- త్రిభువనాధ్యక్ష కౌంతేయపక్ష
మదనకోటివిలాస మంజుల దరహాస- శ్రీహృన్నివాస కౌశేయవాస
శార్ఙ్గకోదండ పిచండ భృతాజాండ- వినుతవేదండ రవిప్రచండ
దీనశరణ్య విద్విట్భేద నైపుణ్య- భక్తానుగణ్య దిక్ప్రభువరేణ్య",vupajaathi,Aandhranaayaka,"[('మా', 'U'), ('ను', '|'), ('ష', '|'), ('హ', 'U'), ('ర్య', 'U'), ('క్ష', '|'), ('మా', 'U'), ('ర్తాం', 'U'), ('డ', '|'), ('సో', 'U'), ('మా', 'U'), ('క్ష', '|'), ('త్రి', '|'), ('భు', '|'), ('వ', '|'), ('నా', 'U'), ('ధ్య', 'U'), ('క్ష', '|'), ('కౌం', 'U'), ('తే', 'U'), ('య', '|'), ('ప', 'U'), ('క్ష', '|'), ('మ', '|'), ('ద', '|'), ('న', '|'), ('కో', 'U'), ('టి', '|'), ('వి', '|'), ('లా', 'U'), ('స', '|'), ('మం', 'U'), ('జు', '|'), ('ల', '|'), ('ద', '|'), ('ర', '|'), ('హా', 'U'), ('స', '|'), ('శ్రీ', 'U'), ('హృ', 'U'), ('న్ని', '|'), ('వా', 'U'), ('స', '|'), ('కౌ', 'U'), ('శే', 'U'), ('య', '|'), ('వా', 'U'), ('స', '|'), ('శా', 'U'), ('ర్ఙ్గ', '|'), ('కో', 'U'), ('దం', 'U'), ('డ', '|'), ('పి', '|'), ('చం', 'U'), ('డ', '|'), ('భృ', '|'), ('తా', 'U'), ('జాం', 'U'), ('డ', '|'), ('వి', '|'), ('ను', '|'), ('త', '|'), ('వే', 'U'), ('దం', 'U'), ('డ', '|'), ('ర', '|'), ('వి', '|'), ('ప్ర', '|'), ('చం', 'U'), ('డ', '|'), ('దీ', 'U'), ('న', '|'), ('శ', '|'), ('ర', 'U'), ('ణ్య', '|'), ('వి', 'U'), ('ద్వి', 'U'), ('ట్భే', 'U'), ('ద', '|'), ('నై', 'U'), ('పు', 'U'), ('ణ్య', '|'), ('భ', 'U'), ('క్తా', 'U'), ('ను', '|'), ('గ', 'U'), ('ణ్య', '|'), ('ది', 'U'), ('క్ప్ర', '|'), ('భు', '|'), ('వ', '|'), ('రే', 'U'), ('ణ్య', '|')]",0.8645833333333334,-1.0,1.0,0.84375,0.75,-1.0
teytageethi,"సిద్ధసంకల్ప అవికల్ప శేషతల్ప-నిష్కలంక నిరాతంక నిరుపమాంక
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!",vupajaathi,Aandhranaayaka,"[('సి', 'U'), ('ద్ధ', '|'), ('సం', 'U'), ('క', 'U'), ('ల్ప', '|'), ('అ', '|'), ('వి', '|'), ('క', 'U'), ('ల్ప', '|'), ('శే', 'U'), ('ష', '|'), ('త', 'U'), ('ల్ప', '|'), ('ని', 'U'), ('ష్క', '|'), ('లం', 'U'), ('క', '|'), ('ని', '|'), ('రా', 'U'), ('తం', 'U'), ('క', '|'), ('ని', '|'), ('రు', '|'), ('ప', '|'), ('మాం', 'U'), ('క', '|'), ('చి', '|'), ('త్ర', '|'), ('చి', '|'), ('త్ర', '|'), ('ప్ర', '|'), ('భా', 'U'), ('వ', '|'), ('దా', 'U'), ('క్షి', 'U'), ('ణ్య', '|'), ('భా', 'U'), ('వ', '|'), ('హ', '|'), ('త', '|'), ('వి', '|'), ('మ', '|'), ('త', '|'), ('జీ', 'U'), ('వ', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళాం', 'U'), ('ధ్ర', '|'), ('దే', 'U'), ('వ', '|')]",0.7666666666666666,-1.0,1.0,0.8,0.5,-1.0
seesamu,"గోవింద ముచికుంద సేవిత పాదార- వింద నిత్యానంద విశ్వతుంద
శ్రీమంత విజయలక్ష్మీకాంత నిర్మల- స్వాంత భక్తోద్యాన వనవసంత
అఘనాశ కోటిసూర్యప్రకాశ వరేశ- విజితాశ సన్మనోంబుజ నివేశ
సద్గుణ గేహ వాసవనీల సమదేహ- బంధురోత్సాహ సువర్ణవాహ",vupajaathi,Aandhranaayaka,"[('గో', 'U'), ('విం', 'U'), ('ద', '|'), ('ము', '|'), ('చి', '|'), ('కుం', 'U'), ('ద', '|'), ('సే', 'U'), ('వి', '|'), ('త', '|'), ('పా', 'U'), ('దా', 'U'), ('ర', '|'), ('విం', 'U'), ('ద', '|'), ('ని', 'U'), ('త్యా', 'U'), ('నం', 'U'), ('ద', '|'), ('వి', 'U'), ('శ్వ', '|'), ('తుం', 'U'), ('ద', '|'), ('శ్రీ', 'U'), ('మం', 'U'), ('త', '|'), ('వి', '|'), ('జ', '|'), ('య', '|'), ('ల', 'U'), ('క్ష్మీ', 'U'), ('కాం', 'U'), ('త', '|'), ('ని', 'U'), ('ర్మ', '|'), ('ల', 'U'), ('స్వాం', 'U'), ('త', '|'), ('భ', 'U'), ('క్తో', 'U'), ('ద్యా', 'U'), ('న', '|'), ('వ', '|'), ('న', '|'), ('వ', '|'), ('సం', 'U'), ('త', '|'), ('అ', '|'), ('ఘ', '|'), ('నా', 'U'), ('శ', '|'), ('కో', 'U'), ('టి', '|'), ('సూ', 'U'), ('ర్య', '|'), ('ప్ర', '|'), ('కా', 'U'), ('శ', '|'), ('వ', '|'), ('రే', 'U'), ('శ', '|'), ('వి', '|'), ('జి', '|'), ('తా', 'U'), ('శ', '|'), ('స', 'U'), ('న్మ', '|'), ('నోం', 'U'), ('బు', '|'), ('జ', '|'), ('ని', '|'), ('వే', 'U'), ('శ', '|'), ('స', 'U'), ('ద్గు', '|'), ('ణ', '|'), ('గే', 'U'), ('హ', '|'), ('వా', 'U'), ('స', '|'), ('వ', '|'), ('నీ', 'U'), ('ల', '|'), ('స', '|'), ('మ', '|'), ('దే', 'U'), ('హ', '|'), ('బం', 'U'), ('ధు', '|'), ('రో', 'U'), ('త్సా', 'U'), ('హ', '|'), ('సు', '|'), ('వ', 'U'), ('ర్ణ', '|'), ('వా', 'U'), ('హ', '|')]",0.8020833333333334,-1.0,1.0,0.78125,0.625,-1.0
teytageethi,"పండితస్తోత్ర చారిత్ర పద్మనేత్ర-మధుర మంజులభాష సమస్తపోష
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!",vupajaathi,Aandhranaayaka,"[('పం', 'U'), ('డి', '|'), ('త', 'U'), ('స్తో', 'U'), ('త్ర', '|'), ('చా', 'U'), ('రి', '|'), ('త్ర', '|'), ('ప', 'U'), ('ద్మ', '|'), ('నే', 'U'), ('త్ర', '|'), ('మ', '|'), ('ధు', '|'), ('ర', '|'), ('మం', 'U'), ('జు', '|'), ('ల', '|'), ('భా', 'U'), ('ష', '|'), ('స', '|'), ('మ', 'U'), ('స్త', '|'), ('పో', 'U'), ('ష', '|'), ('చి', '|'), ('త్ర', '|'), ('చి', '|'), ('త్ర', '|'), ('ప్ర', '|'), ('భా', 'U'), ('వ', '|'), ('దా', 'U'), ('క్షి', 'U'), ('ణ్య', '|'), ('భా', 'U'), ('వ', '|'), ('హ', '|'), ('త', '|'), ('వి', '|'), ('మ', '|'), ('త', '|'), ('జీ', 'U'), ('వ', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళాం', 'U'), ('ధ్ర', '|'), ('దే', 'U'), ('వ', '|')]",0.7666666666666666,-1.0,1.0,0.8,0.5,-1.0
seesamu,"శ్రీకాకుళము భక్తలోక చింతామణి- శ్రీకాకుళము సుకృతాకరంబు
శ్రీకాకుళము ధరాలోక వైకుంఠంబు- శ్రీకాకుళము మర్త్యసేవితంబు
శ్రీకాకుళము వేదసిద్ధాంత మహిమంబు- శ్రీకాకుళము హతవ్యాకులంబు
శ్రీకాకుళము మహాక్షేత్రావతంసంబు- శ్రీకాకుళము సర్వసిద్ధికరము",vupajaathi,Aandhranaayaka,"[('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళ', '|'), ('ము', '|'), ('భ', 'U'), ('క్త', '|'), ('లో', 'U'), ('క', '|'), ('చిం', 'U'), ('తా', 'U'), ('మ', '|'), ('ణి', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళ', '|'), ('ము', '|'), ('సు', '|'), ('కృ', '|'), ('తా', 'U'), ('క', '|'), ('రం', 'U'), ('బు', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళ', '|'), ('ము', '|'), ('ధ', '|'), ('రా', 'U'), ('లో', 'U'), ('క', '|'), ('వై', 'U'), ('కుం', 'U'), ('ఠం', 'U'), ('బు', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళ', '|'), ('ము', '|'), ('మ', 'U'), ('ర్త్య', '|'), ('సే', 'U'), ('వి', '|'), ('తం', 'U'), ('బు', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళ', '|'), ('ము', '|'), ('వే', 'U'), ('ద', '|'), ('సి', 'U'), ('ద్ధాం', 'U'), ('త', '|'), ('మ', '|'), ('హి', '|'), ('మం', 'U'), ('బు', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళ', '|'), ('ము', '|'), ('హ', '|'), ('త', 'U'), ('వ్యా', 'U'), ('కు', '|'), ('లం', 'U'), ('బు', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళ', '|'), ('ము', '|'), ('మ', '|'), ('హా', 'U'), ('క్షే', 'U'), ('త్రా', 'U'), ('వ', '|'), ('తం', 'U'), ('సం', 'U'), ('బు', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళ', '|'), ('ము', '|'), ('స', 'U'), ('ర్వ', '|'), ('సి', 'U'), ('ద్ధి', '|'), ('క', '|'), ('ర', '|'), ('ము', '|')]",1.0,-1.0,1.0,1.0,1.0,-1.0
teytageethi,"తెలియ శ్రీకాకుళంబు నీ దివ్యదేశ-మాంధ్రనాయక నీవె శ్రీహరివి నిజము
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!",vupajaathi,Aandhranaayaka,"[('తె', '|'), ('లి', '|'), ('య', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళం', 'U'), ('బు', '|'), ('నీ', 'U'), ('ది', 'U'), ('వ్య', '|'), ('దే', 'U'), ('శ', '|'), ('మాం', 'U'), ('ధ్ర', '|'), ('నా', 'U'), ('య', '|'), ('క', '|'), ('నీ', 'U'), ('వె', '|'), ('శ్రీ', 'U'), ('హ', '|'), ('రి', '|'), ('వి', '|'), ('ని', '|'), ('జ', '|'), ('ము', '|'), ('చి', '|'), ('త్ర', '|'), ('చి', '|'), ('త్ర', '|'), ('ప్ర', '|'), ('భా', 'U'), ('వ', '|'), ('దా', 'U'), ('క్షి', 'U'), ('ణ్య', '|'), ('భా', 'U'), ('వ', '|'), ('హ', '|'), ('త', '|'), ('వి', '|'), ('మ', '|'), ('త', '|'), ('జీ', 'U'), ('వ', '|'), ('శ్రీ', 'U'), ('కా', 'U'), ('కు', '|'), ('ళాం', 'U'), ('ధ్ర', '|'), ('దే', 'U'), ('వ', '|')]",0.6833333333333332,-1.0,1.0,0.8,0.25,-1.0
